@timestamp,method,code,duration_ms
2026-04-14 19:55:03.018,/main.Server/MakeDirectory,Internal,2.563
2026-04-14 19:55:02.847,/main.Server/MakeDirectory,Internal,2.327
2026-04-14 19:55:02.669,/main.Server/MakeDirectory,Internal,2.191
2026-04-14 19:55:02.485,/main.Server/MakeDirectory,Internal,2.263
2026-04-14 19:55:02.340,/main.Server/MakeDirectory,Internal,2.264
2026-04-14 19:55:02.206,/main.Server/MakeDirectory,Internal,2.175
2026-04-14 19:55:01.888,/main.Server/MakeDirectory,Internal,2.8
2026-04-14 19:55:01.639,/main.Server/MakeDirectory,Internal,2.381
2026-04-14 19:55:01.182,/main.Server/MakeDirectory,Internal,4.706
2026-04-14 19:55:00.703,/main.Server/MakeDirectory,Internal,2.137
2026-04-14 19:55:00.314,/main.Server/MakeDirectory,Internal,2.562
2026-04-14 19:54:59.838,/main.Server/MakeDirectory,Internal,2.208
2026-04-14 19:54:59.385,/main.Server/MakeDirectory,Internal,2.267
2026-04-14 19:54:46.218,/main.Server/MakeDirectory,Internal,2.528
